id,Label
"Curso De Pós-graduação Em Engenharia Metalúrgica E Dos Materiais/MESTRADO/Engenharia De Minas, Metalúrgica E De Materiais","Curso De Pós-graduação Em Engenharia Metalúrgica E Dos Materiais/MESTRADO/Engenharia De Minas, Metalúrgica E De Materiais"
Universidade De Heidelberg,Universidade De Heidelberg
Pontificia Universidad Católica Del Ecuador,Pontificia Universidad Católica Del Ecuador
Faculdade De Ciências Econômicas,Faculdade De Ciências Econômicas
Instituto Federal Do Maranhão,Instituto Federal Do Maranhão
Escola Politécnica Da Universidade Federal Do Rio De Janeiro,Escola Politécnica Da Universidade Federal Do Rio De Janeiro
Centro Federal De Educação Tecnológica De Minas Gerais,Centro Federal De Educação Tecnológica De Minas Gerais
Faculdade De Ciências Farmacêuticas De Ribeirão Preto,Faculdade De Ciências Farmacêuticas De Ribeirão Preto
Departamento De Química,Departamento De Química
Universidad De La Habana,Universidad De La Habana
...,...
Universidad Nacional Del Nordeste,Universidad Nacional Del Nordeste
Southampton University,Southampton University
Universidade Católica Dom Bosco,Universidade Católica Dom Bosco
Departamento De Engenharia Agrícola,Departamento De Engenharia Agrícola
Pontifícia Universidade Católica De Campinas - Puccamp,Pontifícia Universidade Católica De Campinas - Puccamp
Universidade Salvador,Universidade Salvador
Escola Nacional De Agronomia,Escola Nacional De Agronomia
Universidad De Chile,Universidad De Chile
Escola De Arquitetura Da Universidade Federal De Minas Gerais,Escola De Arquitetura Da Universidade Federal De Minas Gerais
Moscow State University,Moscow State University
Universidade Metodista De São Paulo,Universidade Metodista De São Paulo
Universidade De Itaúna,Universidade De Itaúna
Universidade Do Estado Da Guanabara,Universidade Do Estado Da Guanabara
Universidade Estadual Vale Do Acaraú,Universidade Estadual Vale Do Acaraú
University Hokkaido,University Hokkaido
Departamento De Fitotecnia,Departamento De Fitotecnia
Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor De San Marcos
Fukui University,Fukui University
Departamento De Engenharia Florestal,Departamento De Engenharia Florestal
Universidad Del Atlántico,Universidad Del Atlántico
Faculdade De Filosofia Ciencias E Letras De Ribeirão Preto (usp),Faculdade De Filosofia Ciencias E Letras De Ribeirão Preto (usp)
Faculdades Integras De Mineiros,Faculdades Integras De Mineiros
Escola Nacional De Ciências Estatísticas,Escola Nacional De Ciências Estatísticas
Université D'annaba,Université D'annaba
Memorial University Of Newfoundland,Memorial University Of Newfoundland
Universidad Politecnica De Madrid,Universidad Politecnica De Madrid
"Departamento De Química/GRADUACAO/Ciências, Licenciatura Plena Em Química, Bacha","Departamento De Química/GRADUACAO/Ciências, Licenciatura Plena Em Química, Bacha"
Instituto De Química,Instituto De Química
"Instituto Federal De Educação, Ciência E Tecnologia Do Amazonas/GRADUACAO/Química","Instituto Federal De Educação, Ciência E Tecnologia Do Amazonas/GRADUACAO/Química"
Pontifícia Universidad Católica De Chile,Pontifícia Universidad Católica De Chile
"Faculdade De Economia, Administração E Contabilidade De Ribeirão Preto -usp/MESTRADO/Administração De Organizações","Faculdade De Economia, Administração E Contabilidade De Ribeirão Preto -usp/MESTRADO/Administração De Organizações"
Faculdade Estácio De Alagoas,Faculdade Estácio De Alagoas
Escola Superior De Agricultura &quot;luiz De Queiroz&quot; - Usp,Escola Superior De Agricultura &quot;luiz De Queiroz&quot; - Usp
Escuela Politécnica Del Ejército,Escuela Politécnica Del Ejército
Universidad Nacional De Colombia - Bogotá,Universidad Nacional De Colombia - Bogotá
Centro Universitário De Caratinga,Centro Universitário De Caratinga
Centro Universitário De Rio Preto,Centro Universitário De Rio Preto
Escola Superior De Propaganda E Marketing,Escola Superior De Propaganda E Marketing
Ecole Superieure D'ingenieurs En Systemes Industriels Avancés Rhone Alpes,Ecole Superieure D'ingenieurs En Systemes Industriels Avancés Rhone Alpes
Ecole National Supérieure D'electronique Et De Radioélectricité De Grenoble,Ecole National Supérieure D'electronique Et De Radioélectricité De Grenoble
Universidade De Santa Cruz Do Sul,Universidade De Santa Cruz Do Sul
Escola Baiana De Medicina E Saúde Pública,Escola Baiana De Medicina E Saúde Pública
Ecole Nationale Supérieure D'ingénieurs Electriciens De Grenoble,Ecole Nationale Supérieure D'ingénieurs Electriciens De Grenoble
Universidad Nacional De Tucuman,Universidad Nacional De Tucuman
Centro Agronomico Tropical De Investigacion Y Ensenanza,Centro Agronomico Tropical De Investigacion Y Ensenanza
Universidade Cidade De São Paulo,Universidade Cidade De São Paulo
Centro De Instrução Braz De Aguiar,Centro De Instrução Braz De Aguiar
"Programa De Pós Graduação Em Integração Da América Latina/MESTRADO/Integração Da América Latina (sociedade, Economia E Estado)","Programa De Pós Graduação Em Integração Da América Latina/MESTRADO/Integração Da América Latina (sociedade, Economia E Estado)"
Instituto Nacional De Telecomunicações,Instituto Nacional De Telecomunicações
Instituição Educacional São Judas Tadeu,Instituição Educacional São Judas Tadeu
Universidade José Do Rosário Vellano,Universidade José Do Rosário Vellano
Universidad Católica Del Norte,Universidad Católica Del Norte
Steinbeis University Berlin,Steinbeis University Berlin
Fundação De Ensino Octávio Bastos,Fundação De Ensino Octávio Bastos
Universidad De Los Andes Colombia,Universidad De Los Andes Colombia
Universidade Paulista,Universidade Paulista
Pontificia Universidade Católica De São Paulo,Pontificia Universidade Católica De São Paulo
Faculdade Santo Agostinho,Faculdade Santo Agostinho
Universidade Do Estado Da Bahia,Universidade Do Estado Da Bahia
Centro De Ciências Agrárias Da Universidade Federal Do Ceará,Centro De Ciências Agrárias Da Universidade Federal Do Ceará
"Universidade De Belgrado/GRADUACAO/Engenharia De Geologia, Mineralogia E Cristalografia","Universidade De Belgrado/GRADUACAO/Engenharia De Geologia, Mineralogia E Cristalografia"
Universidade De Belgrado,Universidade De Belgrado
Faculdade De Comunicação E Turismo Hélio Alonso,Faculdade De Comunicação E Turismo Hélio Alonso
Escola Nacional De Engenharia,Escola Nacional De Engenharia
Faculty Of Agricultural And Environmental Sciences,Faculty Of Agricultural And Environmental Sciences
Universidade De Amizade Dos Povos De Moscou,Universidade De Amizade Dos Povos De Moscou
Hochschule Für Philosophie München,Hochschule Für Philosophie München
Amherst College,Amherst College
Centro Universitário De Belo Horizonte,Centro Universitário De Belo Horizonte
Graduate Institute Of International And Development Studies,Graduate Institute Of International And Development Studies
Université De Friburg,Université De Friburg
"Universidade De São Paulo/GRADUACAO/Química, Bacharelado","Universidade De São Paulo/GRADUACAO/Química, Bacharelado"
Universidade Estadual Paulista - Júlio De Mesquita Filho,Universidade Estadual Paulista - Júlio De Mesquita Filho
Kobe University,Kobe University
Universidad Nacional Del Litoral,Universidad Nacional Del Litoral
Faculdade De Filosofia Ciências E Letras De São José Do Rio Preto,Faculdade De Filosofia Ciências E Letras De São José Do Rio Preto
Universidade De Guarulhos,Universidade De Guarulhos
Fundação Getulio Vargas,Fundação Getulio Vargas
University Of Delhi,University Of Delhi
Jawaharlal Nehru University,Jawaharlal Nehru University
Faculdade De Agronomia Manoel Carlos Gonçalves,Faculdade De Agronomia Manoel Carlos Gonçalves
Centro Universitário Herminio Ometto De Araras,Centro Universitário Herminio Ometto De Araras
University Of Mysore,University Of Mysore
University Of Madras,University Of Madras
Departamento De Ciência Dos Alimentos,Departamento De Ciência Dos Alimentos
Universidade Nacional Mayor De San Marcos,Universidade Nacional Mayor De San Marcos
University Of North Carolina System,University Of North Carolina System
Facultad Latinoamericana De Ciencias Sociales,Facultad Latinoamericana De Ciencias Sociales
Faculdade De Filosofia Ciências E Letras De Ribeirão Preto Universidade De,Faculdade De Filosofia Ciências E Letras De Ribeirão Preto Universidade De
Centro Agronomico Tropical De Investigación Y Ensenanza,Centro Agronomico Tropical De Investigación Y Ensenanza
University Of California - Berkeley,University Of California - Berkeley
Universidade Do Estado De Mato Grosso,Universidade Do Estado De Mato Grosso
University Of Wisconsin,University Of Wisconsin
Faculdade De Filosofia Ciências E Letras Oswaldo Cruz,Faculdade De Filosofia Ciências E Letras Oswaldo Cruz
Universidade Tecnológica Federal Do Paraná - Campus Ponta Grossa,Universidade Tecnológica Federal Do Paraná - Campus Ponta Grossa
Faculdade De Ciências Farmacêuticas E Bioquímicas Osvaldo Cruz,Faculdade De Ciências Farmacêuticas E Bioquímicas Osvaldo Cruz
Departamento De Bioquímica E Biologia Molecular,Departamento De Bioquímica E Biologia Molecular
Departamento De Farmácia,Departamento De Farmácia
"Imperial College, University Of London/MESTRADO/Mecânica De Rochas","Imperial College, University Of London/MESTRADO/Mecânica De Rochas"
Universidade Federal Da Bahia-escola De Agronomia,Universidade Federal Da Bahia-escola De Agronomia
University Of Maryland,University Of Maryland
"Universidade Federal Rural Do Rio De Janeiro/MESTRADO/Ciências Sociais Em Desenvolvimento, Agricultura E Sociedade","Universidade Federal Rural Do Rio De Janeiro/MESTRADO/Ciências Sociais Em Desenvolvimento, Agricultura E Sociedade"
Centro Universitário Vila Velha,Centro Universitário Vila Velha
New York University,New York University
Escola Politécnica Da Usp,Escola Politécnica Da Usp
Instituto Astronômico E Geofísico Da Usp,Instituto Astronômico E Geofísico Da Usp
Fundação Universidade De Cruz Alta,Fundação Universidade De Cruz Alta
Université Laval,Université Laval
La Sapienza-università Degli Studi Di Roma,La Sapienza-università Degli Studi Di Roma
Programa De Engenharia Civil,Programa De Engenharia Civil
Universidad De Los Andes,Universidad De Los Andes
Universidad Nacional De Rosario,Universidad Nacional De Rosario
University Of Connecticut,University Of Connecticut
Universidad De Costa Rica,Universidad De Costa Rica
Instituto Superior Pedagógico E. J. Varora Havana,Instituto Superior Pedagógico E. J. Varora Havana
Instituto Superior Politécnico J. A. Echeverría Havana,Instituto Superior Politécnico J. A. Echeverría Havana
Universidade Estadual De Santa Cruz,Universidade Estadual De Santa Cruz
"Pontifícia Universidade Católica Do Rio De Janeiro/GRADUACAO/Engenharia Elétrica, Ênfase Eletrônica","Pontifícia Universidade Católica Do Rio De Janeiro/GRADUACAO/Engenharia Elétrica, Ênfase Eletrônica"
Universidade São Marcos,Universidade São Marcos
Kings College London,Kings College London
Uiversidade Federal De Viçosa,Uiversidade Federal De Viçosa
Departamento De Ciências Farmacêuticas,Departamento De Ciências Farmacêuticas
Centro De Ciências Biológicas,Centro De Ciências Biológicas
University Of Colorado,University Of Colorado
Universidade Federal Dos Vales Do Jequitinhonha E Mucuri - Campus Jk,Universidade Federal Dos Vales Do Jequitinhonha E Mucuri - Campus Jk
University Of London - London School Of Hygiene And Tropical Medicine,University Of London - London School Of Hygiene And Tropical Medicine
Centro Universitário Da Fundação Educacional De Barretos,Centro Universitário Da Fundação Educacional De Barretos
Faculdade De Engenharia Da Universidade Do Porto,Faculdade De Engenharia Da Universidade Do Porto
Universidade Federal De Rondônia,Universidade Federal De Rondônia
Instituto Federal Goiano,Instituto Federal Goiano
Centro De Energia Nuclear Na Agricultura,Centro De Energia Nuclear Na Agricultura
Ecole Nationale Des Ponts Et Chaussées,Ecole Nationale Des Ponts Et Chaussées
Facultad De Ingeniería Y Ciencias Hídricas - Univ. Nac. Del Litoral,Facultad De Ingeniería Y Ciencias Hídricas - Univ. Nac. Del Litoral
Universidade Luterana Do Brasil,Universidade Luterana Do Brasil
Faculdade De Enfermagem São José,Faculdade De Enfermagem São José
Centro Regional Universitário De Espírito Santo Do Pinhal,Centro Regional Universitário De Espírito Santo Do Pinhal
Universidade José Do Rosário Vellano - Unifenas,Universidade José Do Rosário Vellano - Unifenas
Universidade De Hokkaido,Universidade De Hokkaido
Escola De Engenharia De São Carlos - Universidade De São Paulo,Escola De Engenharia De São Carlos - Universidade De São Paulo
Universidade Católica Do Salvador,Universidade Católica Do Salvador
Universidade Feevale,Universidade Feevale
Universidad Nacional De Trujillo,Universidad Nacional De Trujillo
Faculdades Reunidas Nuno Lisboa,Faculdades Reunidas Nuno Lisboa
Universidade Estadual Do Rio De Janeiro,Universidade Estadual Do Rio De Janeiro
Texas A & M University,Texas A & M University
University Of Guelph,University Of Guelph
"Iese Business School, Universidad De Navarra/DOUTORADO/Dirección De Empresas","Iese Business School, Universidad De Navarra/DOUTORADO/Dirección De Empresas"
"Escola Superior De Agricultura ""luiz De Queiroz""/DOUTORADO/Fitotecnia","Escola Superior De Agricultura ""luiz De Queiroz""/DOUTORADO/Fitotecnia"
Université D'orléans,Université D'orléans
University Of Wales College Of Cardiff,University Of Wales College Of Cardiff
Imperial College,Imperial College
Eberhard Karls Universitaet Tuebingen,Eberhard Karls Universitaet Tuebingen
Gödöllö Universidade De Ciências Agrícolas,Gödöllö Universidade De Ciências Agrícolas
Université Paris-est Créteil Val-de-marne,Université Paris-est Créteil Val-de-marne
Université De Perpignan - Via Domitia,Université De Perpignan - Via Domitia
"Imperial College At Silwood Park, University Of London/DOUTORADO/Ecology","Imperial College At Silwood Park, University Of London/DOUTORADO/Ecology"
Rheinische Friedrich-wilhelms-universität Bonn,Rheinische Friedrich-wilhelms-universität Bonn
"Universidade Federal Do Rio Grande Do Sul/DOUTORADO/Engenharia De Minas, Metalúrgica E De Materiais","Universidade Federal Do Rio Grande Do Sul/DOUTORADO/Engenharia De Minas, Metalúrgica E De Materiais"
Universitè Louis Pasteur Strasbourg,Universitè Louis Pasteur Strasbourg
Wageningen University And Research Centre,Wageningen University And Research Centre
University Of Southern California,University Of Southern California
Universitè De Technologie De Compiègne,Universitè De Technologie De Compiègne
Rheinisch Westfälische Technische Hochschule Aachen,Rheinisch Westfälische Technische Hochschule Aachen
"Faculdade De Ciências E Tecnologia, Universidade Estadual Paulista/DOUTORADO/Geografia","Faculdade De Ciências E Tecnologia, Universidade Estadual Paulista/DOUTORADO/Geografia"
The University Of Sydney,The University Of Sydney
Karlsruher Institut Für Technologie,Karlsruher Institut Für Technologie
Université Paris-sorbonne,Université Paris-sorbonne
Dalhousie University,Dalhousie University
Ecole Polytechnique De Montreal,Ecole Polytechnique De Montreal
University Of Wales Swansea,University Of Wales Swansea
Virginia Institute Of Marine Science,Virginia Institute Of Marine Science
Johannes Kepler Universität Linz,Johannes Kepler Universität Linz
Universidade De Paderborn,Universidade De Paderborn
Universidade De Oxford,Universidade De Oxford
University Of Calgary,University Of Calgary
Université Paris-est,Université Paris-est
"Imperial College Of Science, Technology And Medicine/DOUTORADO/Neural Systems Engineering","Imperial College Of Science, Technology And Medicine/DOUTORADO/Neural Systems Engineering"
Universidade Federal De Campinha Grande,Universidade Federal De Campinha Grande
Institut National De Sciences Appliquees De Rouen,Institut National De Sciences Appliquees De Rouen
Fundação Getúlio Vargas - Sp,Fundação Getúlio Vargas - Sp
University Of California At Berkeley,University Of California At Berkeley
University Of Birmingham,University Of Birmingham
Instituto Universitário Europeu,Instituto Universitário Europeu
Clemson University,Clemson University
"Pontifícia Universidade Católica Do Rio De Janeiro/DOUTORADO/Engenharia Elétrica - Pontifícia Universidade Católica, Rj","Pontifícia Universidade Católica Do Rio De Janeiro/DOUTORADO/Engenharia Elétrica - Pontifícia Universidade Católica, Rj"
Università Degli Studi Di Firenze,Università Degli Studi Di Firenze
Università Degli Studi Di Teramo,Università Degli Studi Di Teramo
"Carnegie Mellon University/DOUTORADO/Algorithms, Combinatorics, And Optimization","Carnegie Mellon University/DOUTORADO/Algorithms, Combinatorics, And Optimization"
Universidade De Aveiro,Universidade De Aveiro
Université D'aix-marseille Iii,Université D'aix-marseille Iii
Ghent University,Ghent University
University Of California At Davis,University Of California At Davis
University Of Chicago,University Of Chicago
"Universidade Federal De Minas Gerais/DOUTORADO/Saneamento, Meio Ambiente E Recursos Hídricos","Universidade Federal De Minas Gerais/DOUTORADO/Saneamento, Meio Ambiente E Recursos Hídricos"
Helmholtz Centre For Infection Research,Helmholtz Centre For Infection Research
University Of Wales,University Of Wales
Technische Universitat Bergakademie Freiberg,Technische Universitat Bergakademie Freiberg
Institut National Des Sciences Appliquées De Lyon,Institut National Des Sciences Appliquées De Lyon
University Of Kent At Canterbury,University Of Kent At Canterbury
Chalmers University Of Tecnology,Chalmers University Of Tecnology
The University Of Glasgow,The University Of Glasgow
"Université De Paris X, Nanterre/DOUTORADO/Doctorat De Troisième Cycle","Université De Paris X, Nanterre/DOUTORADO/Doctorat De Troisième Cycle"
University Of California In Santa Barbara,University Of California In Santa Barbara
"Instituto De Catálise, Academia De Ciências Da Rússia/DOUTORADO/Cinética Química E Catálise","Instituto De Catálise, Academia De Ciências Da Rússia/DOUTORADO/Cinética Química E Catálise"
Université De Limoges,Université De Limoges
"Université Montpellier 2 - Sciences Et Techniques/DOUTORADO/Electronique, Optronique Et Systeme","Université Montpellier 2 - Sciences Et Techniques/DOUTORADO/Electronique, Optronique Et Systeme"
Ecole Des Mines De Paris E Ecole Des Mines De Saint Etienne,Ecole Des Mines De Paris E Ecole Des Mines De Saint Etienne
University Of Massachusetts Amherst,University Of Massachusetts Amherst
École Normale Supérieure De Lyon,École Normale Supérieure De Lyon
"Université Paris 1 Pantheon-sorbonne/DOUTORADO/Planejamento, Econ. Pública E Org. Do Território","Université Paris 1 Pantheon-sorbonne/DOUTORADO/Planejamento, Econ. Pública E Org. Do Território"
University Of Manitoba,University Of Manitoba
Université Montpellier 2,Université Montpellier 2
University Of Colorado At Denver,University Of Colorado At Denver
Unesp - Universidade Estadual Paulista - Câmpus De Jaboticabal,Unesp - Universidade Estadual Paulista - Câmpus De Jaboticabal
Wageningen Agricultural University,Wageningen Agricultural University
Universidade Federal Do Abc,Universidade Federal Do Abc
Oxford Brookes University,Oxford Brookes University
Departamento De Química Orgânica,Departamento De Química Orgânica
Albert-ludwigs-universität Freiburg,Albert-ludwigs-universität Freiburg
The University Of Birmingham,The University Of Birmingham
Escola De Engenharia De São José Dos Campos,Escola De Engenharia De São José Dos Campos
Université De Sciences Sociales De Grenoble,Université De Sciences Sociales De Grenoble
University Of California At San Diego,University Of California At San Diego
Louisiana State University System,Louisiana State University System
Centro De Pesquisas Aggeu Magalhães,Centro De Pesquisas Aggeu Magalhães
"Univeristy Of California, Berkeley/DOUTORADO/Fisica","Univeristy Of California, Berkeley/DOUTORADO/Fisica"
L'intitut National Polytechnique De Toulouse,L'intitut National Polytechnique De Toulouse
Faculdade De Medicina De São José Do Rio Preto,Faculdade De Medicina De São José Do Rio Preto
Swiss Federal Institute Of Technology Zurich,Swiss Federal Institute Of Technology Zurich
"Universidade Federal De Minas Gerais/DOUTORADO/Ecologia, Conservação E Manejo Da Vida Silvestre","Universidade Federal De Minas Gerais/DOUTORADO/Ecologia, Conservação E Manejo Da Vida Silvestre"
Technische Hochschule Darmstadt,Technische Hochschule Darmstadt
"Pennsylvania State University, Pennsylvania, University Park,estados Unidos/DOUTORADO/Processamento Mineral","Pennsylvania State University, Pennsylvania, University Park,estados Unidos/DOUTORADO/Processamento Mineral"
Universite De L'etat A Liege,Universite De L'etat A Liege
"University Of California, Berkeley/DOUTORADO/Statistics","University Of California, Berkeley/DOUTORADO/Statistics"
Ruprecht-karls-universität Heidelberg,Ruprecht-karls-universität Heidelberg
Arizona State University,Arizona State University
Université Libre De Bruxelles,Université Libre De Bruxelles
Università Degli Studi Dell'aquila,Università Degli Studi Dell'aquila
"Univeritat Politecnica De Catalunya/DOUTORADO/Ingeniería De Caminos, Canales Y Puertos","Univeritat Politecnica De Catalunya/DOUTORADO/Ingeniería De Caminos, Canales Y Puertos"
Imperial College Of Science Technology And Medicine University Of London,Imperial College Of Science Technology And Medicine University Of London
Université Montpellier 2 - Sciences Et Techniques,Université Montpellier 2 - Sciences Et Techniques
Université Paris-dauphine - Paris Ix,Université Paris-dauphine - Paris Ix
"Universidade Federal Rural Do Rio De Janeiro/DOUTORADO/Ciências Sociais Em Desenvolvimento, Agricultura E Sociedade","Universidade Federal Rural Do Rio De Janeiro/DOUTORADO/Ciências Sociais Em Desenvolvimento, Agricultura E Sociedade"
Virginia Polytechnic Institute Ans State University,Virginia Polytechnic Institute Ans State University
Flinders University Of South Australia,Flinders University Of South Australia
Universitaet Stuttgart,Universitaet Stuttgart
Universitat Politècnica De Catalunya - Barcelona Tech,Universitat Politècnica De Catalunya - Barcelona Tech
Università Degli Studi Di Modena E Reggio Emilia,Università Degli Studi Di Modena E Reggio Emilia
"Università Degli Studi Di Modena E Reggio Emilia/DOUTORADO/Phd School In Earth System Sciences Environment, R","Università Degli Studi Di Modena E Reggio Emilia/DOUTORADO/Phd School In Earth System Sciences Environment, R"
Technische Universitaet Karlsruhe,Technische Universitaet Karlsruhe
"University Of California, Davis/DOUTORADO/Ecology/weed Science","University Of California, Davis/DOUTORADO/Ecology/weed Science"
Universität Innsbruck,Universität Innsbruck
University Of Manchester - Institute Of Science And Technology,University Of Manchester - Institute Of Science And Technology
Syracuse University,Syracuse University
University Of Reading,University Of Reading
University Of Strathclyde,University Of Strathclyde
Universite De Rennes I,Universite De Rennes I
Universidad De Oviedo,Universidad De Oviedo
